%Year Day(UTC),Latitude(deg),Longitude(deg),Carioca SST(degC)
50.50000000,-2.7278,-126.6541,26.86
50.54166667,-2.7240,-126.6666,26.85
50.58332176,-2.7203,-126.6790,26.84
50.62500000,-2.7166,-126.6915,26.84
50.66666667,-2.7140,-126.7000,26.85
50.70832176,-2.7140,-126.7000,26.84
50.75000000,-2.7140,-126.7000,26.85
50.79166667,-2.7140,-126.7000,26.88
50.83332176,-2.7140,-126.7000,26.98
50.87500000,-2.7140,-126.7000,27.04
50.91666667,-2.6912,-126.7489,27.14
50.95832176,-2.6708,-126.7931,27.25
51.00000000,-2.6648,-126.8089,27.27
51.04166667,-2.6587,-126.8246,27.32
51.08332176,-2.6527,-126.8403,27.31
51.12500000,-2.6479,-126.8567,27.28
51.16666667,-2.6450,-126.8742,27.20
51.20832176,-2.6397,-126.8935,27.17
51.25000000,-2.6332,-126.9138,27.14
51.29166667,-2.6268,-126.9342,27.10
51.33332176,-2.6203,-126.9545,27.05
51.37500000,-2.6138,-126.9748,27.00
51.41666667,-2.6083,-126.9942,26.95
51.50000000,-2.6009,-127.0272,26.97
51.54166667,-2.5940,-127.0431,26.95
51.58332176,-2.5871,-127.0590,26.95
51.62500000,-2.5802,-127.0750,26.94
51.66666667,-2.5780,-127.0800,26.94
51.70832176,-2.5779,-127.0809,26.97
51.75000000,-2.5742,-127.1071,27.05
51.79166667,-2.5705,-127.1333,27.14
51.83332176,-2.5669,-127.1595,27.27
51.87500000,-2.5661,-127.1894,27.38
51.91666667,-2.5758,-127.2326,27.41
51.95832176,-2.5820,-127.2600,27.42
52.00000000,-2.5820,-127.2600,27.42
52.04166667,-2.5820,-127.2600,27.36
52.08332176,-2.5820,-127.2600,27.32
52.12500000,-2.5799,-127.2839,27.24
52.16666667,-2.5772,-127.3137,27.18
52.20832176,-2.5745,-127.3436,27.11
52.25000000,-2.5719,-127.3697,27.08
52.33332176,-2.5671,-127.4129,27.04
52.37500000,-2.5647,-127.4345,27.03
52.50000000,-2.5658,-127.4942,26.98
52.54166667,-2.5655,-127.5131,26.98
52.58332176,-2.5653,-127.5320,26.97
52.62500000,-2.5650,-127.5506,26.97
52.66666667,-2.5650,-127.5627,26.96
52.70832176,-2.5639,-127.5802,26.97
52.75000000,-2.5612,-127.6059,27.01
52.79166667,-2.5584,-127.6315,27.05
52.83332176,-2.5557,-127.6572,27.10
52.87500000,-2.5530,-127.6828,27.19
52.91666667,-2.5502,-127.7085,27.25
52.95832176,-2.5487,-127.7234,27.28
53.00000000,-2.5480,-127.7296,27.27
53.04166667,-2.5432,-127.7539,27.28
53.08332176,-2.5381,-127.7795,27.21
53.12500000,-2.5330,-127.8051,27.17
53.16666667,-2.5274,-127.8305,27.14
53.20832176,-2.5211,-127.8558,27.11
53.25000000,-2.5145,-127.8772,27.08
53.29166667,-2.5078,-127.8978,27.08
53.33332176,-2.5012,-127.9184,27.07
53.37500000,-2.4945,-127.9390,27.06
53.41666667,-2.4893,-127.9611,27.05
53.45832176,-2.4858,-127.9849,27.03
53.50000000,-2.4831,-128.0065,27.02
53.54166667,-2.4807,-128.0276,27.00
53.58332176,-2.4783,-128.0487,27.00
53.62500000,-2.4762,-128.0684,27.00
53.66666667,-2.4744,-128.0864,26.99
53.70832176,-2.4707,-128.1118,27.00
53.75000000,-2.4667,-128.1390,27.03
53.79166667,-2.4626,-128.1662,27.05
53.83332176,-2.4585,-128.1933,27.14
53.87500000,-2.4544,-128.2205,27.19
53.91666667,-2.4503,-128.2477,27.25
53.95832176,-2.4490,-128.2651,27.29
54.00000000,-2.4476,-128.2821,27.31
54.04166667,-2.4440,-128.3035,27.31
54.08332176,-2.4403,-128.3248,27.27
54.12500000,-2.4367,-128.3461,27.25
54.16666667,-2.4389,-128.3696,27.22
54.20832176,-2.4423,-128.3937,27.20
54.25000000,-2.4446,-128.4181,27.14
54.29166667,-2.4468,-128.4426,27.12
54.33332176,-2.4490,-128.4670,27.11
54.37500000,-2.4512,-128.4915,27.09
54.41666667,-2.4562,-128.5125,27.08
54.45832176,-2.4620,-128.5334,27.07
54.50000000,-2.4617,-128.5743,27.05
54.54166667,-2.4613,-128.6151,27.05
54.58332176,-2.4610,-128.6559,27.04
54.62500000,-2.4610,-128.6600,27.04
54.66666667,-2.4608,-128.6628,27.04
54.70832176,-2.4596,-128.6839,27.05
54.75000000,-2.4583,-128.7051,27.08
54.79166667,-2.4571,-128.7262,27.15
54.83332176,-2.4558,-128.7473,27.26
54.87500000,-2.4545,-128.7684,27.35
54.91666667,-2.4533,-128.7895,27.44
54.95832176,-2.4520,-128.8106,27.50
55.00000000,-2.4508,-128.8318,27.49
55.04166667,-2.4495,-128.8529,27.43
55.08332176,-2.4482,-128.8740,27.36
55.12500000,-2.4470,-128.8951,27.30
55.16666667,-2.4457,-128.9162,27.26
55.20832176,-2.4445,-128.9373,27.22
55.25000000,-2.4432,-128.9585,27.19
55.29166667,-2.4419,-128.9796,27.18
55.33332176,-2.4407,-129.0007,27.16
55.37500000,-2.4394,-129.0218,27.16
55.41666667,-2.4382,-129.0429,27.14
55.45832176,-2.4369,-129.0640,27.13
55.50000000,-2.4356,-129.0852,27.12
55.54166667,-2.4344,-129.1063,27.11
55.58332176,-2.4331,-129.1274,27.08
55.62500000,-2.4319,-129.1485,27.07
55.66666667,-2.4306,-129.1696,27.07
55.70832176,-2.4294,-129.1907,27.08
55.75000000,-2.4281,-129.2119,27.12
55.79166667,-2.4268,-129.2330,27.18
55.83332176,-2.4256,-129.2541,27.18
55.87500000,-2.4243,-129.2752,27.21
55.91666667,-2.4231,-129.2963,27.26
55.95832176,-2.4218,-129.3174,27.32
56.00000000,-2.4205,-129.3386,27.47
56.04166667,-2.4193,-129.3597,27.49
56.08332176,-2.4180,-129.3808,27.51
56.12500000,-2.4168,-129.4019,27.49
56.16666667,-2.4155,-129.4230,27.32
56.20832176,-2.4142,-129.4442,27.26
56.25000000,-2.4130,-129.4653,27.22
56.29166667,-2.4117,-129.4864,27.25
56.33332176,-2.4105,-129.5075,27.18
56.37500000,-2.4092,-129.5286,27.17
56.41666667,-2.4079,-129.5497,27.16
56.45832176,-2.4067,-129.5709,27.15
56.50000000,-2.4054,-129.5920,27.14
56.54166667,-2.4042,-129.6131,27.14
56.58332176,-2.4029,-129.6342,27.12
56.62500000,-2.4016,-129.6553,27.12
56.66666667,-2.4004,-129.6764,27.10
56.70832176,-2.3991,-129.6976,27.10
56.75000000,-2.3979,-129.7187,27.14
56.79166667,-2.3966,-129.7398,27.18
56.83332176,-2.3953,-129.7609,27.24
56.87500000,-2.3941,-129.7820,27.32
56.91666667,-2.3928,-129.8032,27.40
56.95832176,-2.3916,-129.8243,27.45
57.00000000,-2.3903,-129.8454,27.48
57.04166667,-2.3891,-129.8665,27.52
57.16666667,-2.3853,-129.9299,27.36
57.20832176,-2.3840,-129.9510,27.34
57.33332176,-2.3802,-130.0143,27.28
57.37500000,-2.3790,-130.0354,27.27
57.50000000,-2.3752,-130.0988,27.22
57.54166667,-2.3739,-130.1199,27.20
57.66666667,-2.3702,-130.1833,27.18
57.70832176,-2.3689,-130.2044,27.18
57.83332176,-2.3651,-130.2677,27.24
57.87500000,-2.3639,-130.2888,27.30
58.00000000,-2.3601,-130.3522,27.57
58.04166667,-2.3588,-130.3733,27.56
58.16666667,-2.3551,-130.4367,27.39
58.20832176,-2.3538,-130.4578,27.35
58.33332176,-2.3500,-130.5211,27.32
58.37500000,-2.3488,-130.5423,27.30
58.50000000,-2.3450,-130.6056,27.26
58.54166667,-2.3437,-130.6267,27.25
58.58332176,-2.3425,-130.6478,27.22
58.62500000,-2.3412,-130.6690,27.22
58.66666667,-2.3399,-130.6901,27.21
58.70832176,-2.3387,-130.7112,27.21
58.75000000,-2.3374,-130.7323,27.24
58.79166667,-2.3362,-130.7534,27.29
58.83332176,-2.3349,-130.7745,27.37
58.87500000,-2.3336,-130.7957,27.45
58.91666667,-2.3324,-130.8168,27.53
58.95832176,-2.3311,-130.8379,27.56
59.58332176,-2.3109,-131.2309,27.31
59.62500000,-2.3085,-131.2548,27.29
59.66666667,-2.3054,-131.2779,27.28
59.70832176,-2.3011,-131.2995,27.29
59.75000000,-2.2968,-131.3210,27.32
59.79166667,-2.2925,-131.3426,27.36
59.83332176,-2.2882,-131.3641,27.43
59.87500000,-2.2839,-131.3857,27.54
59.91666667,-2.2923,-131.3998,27.65
59.95832176,-2.3021,-131.4159,27.72
